номер аудиофайла	порядковый номер	правильный ответ	неправильный ответ1	неправильный ответ2	неправильный ответ3	!	?	.		контрольная сумма
357	482	Она пьёт?	Она пьёт.	Она пьёт 	Она пьёт!	2	3	4	1	=SUM(G483:J483)
638	483	Мы пьём.	Мы пьём 	Мы пьём!	Мы пьём?	3	4	1	2	=SUM(G484:J484)
877	484	Вы пьёте 	Вы пьёте?	Вы пьёте.	Вы пьёте!	4	2	3	1	=SUM(G485:J485)
358	485	Они пьют?	Они пьют.	Они пьют 	Они пьют!	2	3	4	1	=SUM(G486:J486)
639	486	Я ем.	Я ем 	Я ем!	Я ем?	3	4	1	2	=SUM(G487:J487)
878	487	Ты ешь 	Ты ешь?	Ты ешь.	Ты ешь!	4	2	3	1	=SUM(G488:J488)
640	488	Он ест.	Он ест 	Он ест!	Он ест?	3	4	1	2	=SUM(G489:J489)
100	489	Она ест!	Она ест.	Она ест?	Она ест 	1	3	2	4	=SUM(G490:J490)
359	490	Мы едим?	Мы едим!	Мы едим 	Мы едим.	2	1	4	3	=SUM(G491:J491)
879	491	Вы едите 	Вы едите!	Вы едите.	Вы едите?	4	1	3	2	=SUM(G492:J492)
360	492	Они едят?	Они едят.	Они едят!	Они едят 	2	3	1	4	=SUM(G493:J493)
880	493	Я сплю 	Я сплю.	Я сплю?	Я сплю!	4	3	2	1	=SUM(G494:J494)
641	494	Ты спишь.	Ты спишь 	Ты спишь?	Ты спишь!	3	4	2	1	=SUM(G495:J495)
101	495	Он спит!	Он спит.	Он спит?	Он спит 	1	3	2	4	=SUM(G496:J496)
361	496	Она спит?	Она спит!	Она спит 	Она спит.	2	1	4	3	=SUM(G497:J497)
642	497	Мы спим.	Мы спим 	Мы спим!	Мы спим?	3	4	1	2	=SUM(G498:J498)
102	498	Вы спите!	Вы спите.	Вы спите?	Вы спите 	1	3	2	4	=SUM(G499:J499)
362	499	Они спят?	Они спят!	Они спят 	Они спят.	2	1	4	3	=SUM(G500:J500)
881	500	Я сижу 	Я сижу!	Я сижу.	Я сижу?	4	1	3	2	=SUM(G501:J501)
363	501	Ты сидишь?	Ты сидишь.	Ты сидишь!	Ты сидишь 	2	3	1	4	=SUM(G502:J502)
882	502	Он сидит 	Он сидит.	Он сидит?	Он сидит!	4	3	2	1	=SUM(G503:J503)
643	503	Она сидит.	Она сидит 	Она сидит?	Она сидит!	3	4	2	1	=SUM(G504:J504)
103	504	Мы сидим!	Мы сидим.	Мы сидим?	Мы сидим 	1	3	2	4	=SUM(G505:J505)
364	505	Вы сидите?	Вы сидите!	Вы сидите 	Вы сидите.	2	1	4	3	=SUM(G506:J506)
104	506	Они сидят!	Они сидят?	Они сидят.	Они сидят 	1	2	3	4	=SUM(G507:J507)
365	507	Я стою?	Я стою.	Я стою 	Я стою!	2	3	4	1	=SUM(G508:J508)
644	508	Ты стоишь.	Ты стоишь 	Ты стоишь!	Ты стоишь?	3	4	1	2	=SUM(G509:J509)
883	509	Он стоит 	Он стоит?	Он стоит.	Он стоит!	4	2	3	1	=SUM(G510:J510)
645	510	Она стоит.	Она стоит 	Она стоит!	Она стоит?	3	4	1	2	=SUM(G511:J511)
105	511	Мы стоим!	Мы стоим.	Мы стоим?	Мы стоим 	1	3	2	4	=SUM(G512:J512)
366	512	Вы стоите?	Вы стоите!	Вы стоите 	Вы стоите.	2	1	4	3	=SUM(G513:J513)
884	513	Они стоят 	Они стоят!	Они стоят.	Они стоят?	4	1	3	2	=SUM(G514:J514)
367	514	Я иду?	Я иду.	Я иду!	Я иду 	2	3	1	4	=SUM(G515:J515)
885	515	Ты идёшь 	Ты идёшь.	Ты идёшь?	Ты идёшь!	4	3	2	1	=SUM(G516:J516)
646	516	Он идёт.	Он идёт 	Он идёт?	Он идёт!	3	4	2	1	=SUM(G517:J517)
368	517	Она идёт?	Она идёт.	Она идёт 	Она идёт!	2	3	4	1	=SUM(G518:J518)
647	518	Мы идём.	Мы идём 	Мы идём!	Мы идём?	3	4	1	2	=SUM(G519:J519)
886	519	Вы идёте 	Вы идёте?	Вы идёте.	Вы идёте!	4	2	3	1	=SUM(G520:J520)
648	520	Они идут.	Они идут 	Они идут!	Они идут?	3	4	1	2	=SUM(G521:J521)
106	521	Я бегу!	Я бегу.	Я бегу?	Я бегу 	1	3	2	4	=SUM(G522:J522)
369	522	Ты бежишь?	Ты бежишь!	Ты бежишь 	Ты бежишь.	2	1	4	3	=SUM(G523:J523)
887	523	Он бежит 	Он бежит!	Он бежит.	Он бежит?	4	1	3	2	=SUM(G524:J524)
370	524	Она бежит?	Она бежит.	Она бежит!	Она бежит 	2	3	1	4	=SUM(G525:J525)
888	525	Мы бежим 	Мы бежим.	Мы бежим?	Мы бежим!	4	3	2	1	=SUM(G526:J526)
107	526	Вы бежите!	Вы бежите.	Вы бежите?	Вы бежите 	1	3	2	4	=SUM(G527:J527)
371	527	Они бегут?	Они бегут!	Они бегут 	Они бегут.	2	1	4	3	=SUM(G528:J528)
889	528	Я плыву 	Я плыву!	Я плыву.	Я плыву?	4	1	3	2	=SUM(G529:J529)
372	529	Ты плывёшь?	Ты плывёшь.	Ты плывёшь!	Ты плывёшь 	2	3	1	4	=SUM(G530:J530)
890	530	Он плывёт 	Он плывёт.	Он плывёт?	Он плывёт!	4	3	2	1	=SUM(G531:J531)
649	531	Она плывёт.	Она плывёт 	Она плывёт?	Она плывёт!	3	4	2	1	=SUM(G532:J532)
108	532	Мы плывём!	Мы плывём.	Мы плывём?	Мы плывём 	1	3	2	4	=SUM(G533:J533)
373	533	Вы плывёте?	Вы плывёте!	Вы плывёте 	Вы плывёте.	2	1	4	3	=SUM(G534:J534)
650	534	Они плывут.	Они плывут 	Они плывут!	Они плывут?	3	4	1	2	=SUM(G535:J535)
109	535	Я лечу!	Я лечу.	Я лечу?	Я лечу 	1	3	2	4	=SUM(G536:J536)
374	536	Ты летишь?	Ты летишь!	Ты летишь 	Ты летишь.	2	1	4	3	=SUM(G537:J537)
891	537	Он летит 	Он летит!	Он летит.	Он летит?	4	1	3	2	=SUM(G538:J538)
375	538	Она летит?	Она летит.	Она летит!	Она летит 	2	3	1	4	=SUM(G539:J539)
892	539	Мы летим 	Мы летим.	Мы летим?	Мы летим!	4	3	2	1	=SUM(G540:J540)
651	540	Вы летите.	Вы летите 	Вы летите?	Вы летите!	3	4	2	1	=SUM(G541:J541)
110	541	Они летят!	Они летят.	Они летят?	Они летят 	1	3	2	4	=SUM(G542:J542)
376	542	Я пишу?	Я пишу!	Я пишу 	Я пишу.	2	1	4	3	=SUM(G543:J543)
111	543	Ты пишешь!	Ты пишешь?	Ты пишешь.	Ты пишешь 	1	2	3	4	=SUM(G544:J544)
377	544	Он пишет?	Он пишет.	Он пишет 	Он пишет!	2	3	4	1	=SUM(G545:J545)
652	545	Она пишет.	Она пишет 	Она пишет!	Она пишет?	3	4	1	2	=SUM(G546:J546)
893	546	Мы пишем 	Мы пишем?	Мы пишем.	Мы пишем!	4	2	3	1	=SUM(G547:J547)
378	547	Вы пишете?	Вы пишете.	Вы пишете 	Вы пишете!	2	3	4	1	=SUM(G548:J548)
653	548	Они пишут.	Они пишут 	Они пишут!	Они пишут?	3	4	1	2	=SUM(G549:J549)
894	549	Я читаю 	Я читаю?	Я читаю.	Я читаю!	4	2	3	1	=SUM(G550:J550)
654	550	Ты читаешь.	Ты читаешь 	Ты читаешь!	Ты читаешь?	3	4	1	2	=SUM(G551:J551)
112	551	Он читает!	Он читает.	Он читает?	Он читает 	1	3	2	4	=SUM(G552:J552)
379	552	Она читает?	Она читает!	Она читает 	Она читает.	2	1	4	3	=SUM(G553:J553)
895	553	Мы читаем 	Мы читаем!	Мы читаем.	Мы читаем?	4	1	3	2	=SUM(G554:J554)
380	554	Вы читаете?	Вы читаете.	Вы читаете!	Вы читаете 	2	3	1	4	=SUM(G555:J555)
896	555	Они читают 	Они читают.	Они читают?	Они читают!	4	3	2	1	=SUM(G556:J556)
655	556	Я говорю.	Я говорю 	Я говорю?	Я говорю!	3	4	2	1	=SUM(G557:J557)
113	557	Ты говоришь!	Ты говоришь.	Ты говоришь?	Ты говоришь 	1	3	2	4	=SUM(G558:J558)
381	558	Он говорит?	Он говорит!	Он говорит 	Он говорит.	2	1	4	3	=SUM(G559:J559)
656	559	Она говорит.	Она говорит 	Она говорит!	Она говорит?	3	4	1	2	=SUM(G560:J560)
114	560	Мы говорим!	Мы говорим.	Мы говорим?	Мы говорим 	1	3	2	4	=SUM(G561:J561)
382	561	Вы говорите?	Вы говорите!	Вы говорите 	Вы говорите.	2	1	4	3	=SUM(G562:J562)
897	562	Они говорят 	Они говорят!	Они говорят.	Они говорят?	4	1	3	2	=SUM(G563:J563)
383	563	Я слушаю?	Я слушаю.	Я слушаю!	Я слушаю 	2	3	1	4	=SUM(G564:J564)
898	564	Ты слушаешь 	Ты слушаешь.	Ты слушаешь?	Ты слушаешь!	4	3	2	1	=SUM(G565:J565)
657	565	Он слушает.	Он слушает 	Он слушает?	Он слушает!	3	4	2	1	=SUM(G566:J566)
115	566	Она слушает!	Она слушает.	Она слушает?	Она слушает 	1	3	2	4	=SUM(G567:J567)
384	567	Мы слушаем?	Мы слушаем!	Мы слушаем 	Мы слушаем.	2	1	4	3	=SUM(G568:J568)
116	568	Вы слушаете!	Вы слушаете?	Вы слушаете.	Вы слушаете 	1	2	3	4	=SUM(G569:J569)
385	569	Они слушают?	Они слушают.	Они слушают 	Они слушают!	2	3	4	1	=SUM(G570:J570)
658	570	Я вижу.	Я вижу 	Я вижу!	Я вижу?	3	4	1	2	=SUM(G571:J571)
899	571	Ты видишь 	Ты видишь?	Ты видишь.	Ты видишь!	4	2	3	1	=SUM(G572:J572)
659	572	Он видит.	Он видит 	Он видит!	Он видит?	3	4	1	2	=SUM(G573:J573)
117	573	Она видит!	Она видит.	Она видит?	Она видит 	1	3	2	4	=SUM(G574:J574)
386	574	Мы видим?	Мы видим!	Мы видим 	Мы видим.	2	1	4	3	=SUM(G575:J575)
900	575	Вы видите 	Вы видите!	Вы видите.	Вы видите?	4	1	3	2	=SUM(G576:J576)
387	576	Они видят?	Они видят.	Они видят!	Они видят 	2	3	1	4	=SUM(G577:J577)
901	577	Я знаю 	Я знаю.	Я знаю?	Я знаю!	4	3	2	1	=SUM(G578:J578)
660	578	Ты знаешь.	Ты знаешь 	Ты знаешь?	Ты знаешь!	3	4	2	1	=SUM(G579:J579)
388	579	Он знает?	Он знает.	Он знает 	Он знает!	2	3	4	1	=SUM(G580:J580)
661	580	Она знает.	Она знает 	Она знает!	Она знает?	3	4	1	2	=SUM(G581:J581)
902	581	Мы знаем 	Мы знаем?	Мы знаем.	Мы знаем!	4	2	3	1	=SUM(G582:J582)
662	582	Вы знаете.	Вы знаете 	Вы знаете!	Вы знаете?	3	4	1	2	=SUM(G583:J583)
118	583	Они знают!	Они знают.	Они знают?	Они знают 	1	3	2	4	=SUM(G584:J584)
389	584	Я понимаю?	Я понимаю!	Я понимаю 	Я понимаю.	2	1	4	3	=SUM(G585:J585)
903	585	Ты понимаешь 	Ты понимаешь!	Ты понимаешь.	Ты понимаешь?	4	1	3	2	=SUM(G586:J586)
390	586	Он понимает?	Он понимает.	Он понимает!	Он понимает 	2	3	1	4	=SUM(G587:J587)
904	587	Она понимает 	Она понимает.	Она понимает?	Она понимает!	4	3	2	1	=SUM(G588:J588)
663	588	Мы понимаем.	Мы понимаем 	Мы понимаем?	Мы понимаем!	3	4	2	1	=SUM(G589:J589)
119	589	Вы понимаете!	Вы понимаете.	Вы понимаете?	Вы понимаете 	1	3	2	4	=SUM(G590:J590)
391	590	Они понимают?	Они понимают!	Они понимают 	Они понимают.	2	1	4	3	=SUM(G591:J591)
120	591	Я думаю!	Я думаю?	Я думаю.	Я думаю 	1	2	3	4	=SUM(G592:J592)
392	592	Ты думаешь?	Ты думаешь.	Ты думаешь 	Ты думаешь!	2	3	4	1	=SUM(G593:J593)
664	593	Он думает.	Он думает 	Он думает!	Он думает?	3	4	1	2	=SUM(G594:J594)
905	594	Она думает 	Она думает?	Она думает.	Она думает!	4	2	3	1	=SUM(G595:J595)
665	595	Мы думаем.	Мы думаем 	Мы думаем!	Мы думаем?	3	4	1	2	=SUM(G596:J596)
121	596	Вы думаете!	Вы думаете.	Вы думаете?	Вы думаете 	1	3	2	4	=SUM(G597:J597)
393	597	Они думают?	Они думают!	Они думают 	Они думают.	2	1	4	3	=SUM(G598:J598)
906	598	Я помню 	Я помню!	Я помню.	Я помню?	4	1	3	2	=SUM(G599:J599)
394	599	Ты помнишь?	Ты помнишь.	Ты помнишь!	Ты помнишь 	2	3	1	4	=SUM(G600:J600)
907	600	Он помнит 	Он помнит.	Он помнит?	Он помнит!	4	3	2	1	=SUM(G601:J601)
666	601	Она помнит.	Она помнит 	Она помнит?	Она помнит!	3	4	2	1	=SUM(G602:J602)
122	602	Мы помним!	Мы помним.	Мы помним?	Мы помним 	1	3	2	4	=SUM(G603:J603)
395	603	Вы помните?	Вы помните!	Вы помните 	Вы помните.	2	1	4	3	=SUM(G604:J604)
667	604	Они помнят.	Они помнят 	Они помнят!	Они помнят?	3	4	1	2	=SUM(G605:J605)
123	605	Я хочу!	Я хочу.	Я хочу?	Я хочу 	1	3	2	4	=SUM(G606:J606)
396	606	Ты хочешь?	Ты хочешь!	Ты хочешь 	Ты хочешь.	2	1	4	3	=SUM(G607:J607)
908	607	Он хочет 	Он хочет!	Он хочет.	Он хочет?	4	1	3	2	=SUM(G608:J608)
397	608	Она хочет?	Она хочет.	Она хочет!	Она хочет 	2	3	1	4	=SUM(G609:J609)
909	609	Мы хотим 	Мы хотим?	Мы хотим.	Мы хотим!	4	2	3	1	=SUM(G610:J610)
668	610	Вы хотите.	Вы хотите 	Вы хотите!	Вы хотите?	3	4	1	2	=SUM(G611:J611)
124	611	Они хотят!	Они хотят.	Они хотят?	Они хотят 	1	3	2	4	=SUM(G612:J612)
398	612	Я могу?	Я могу!	Я могу 	Я могу.	2	1	4	3	=SUM(G613:J613)
910	613	Ты можешь 	Ты можешь!	Ты можешь.	Ты можешь?	4	1	3	2	=SUM(G614:J614)
399	614	Он может?	Он может.	Он может!	Он может 	2	3	1	4	=SUM(G615:J615)
911	615	Она может 	Она может.	Она может?	Она может!	4	3	2	1	=SUM(G616:J616)
669	616	Мы можем.	Мы можем 	Мы можем?	Мы можем!	3	4	2	1	=SUM(G617:J617)
125	617	Вы можете!	Вы можете.	Вы можете?	Вы можете 	1	3	2	4	=SUM(G618:J618)
400	618	Они могут?	Они могут!	Они могут 	Они могут.	2	1	4	3	=SUM(G619:J619)
126	619	Я должен!	Я должен?	Я должен.	Я должен 	1	2	3	4	=SUM(G620:J620)
401	620	Ты должен?	Ты должен.	Ты должен 	Ты должен!	2	3	4	1	=SUM(G621:J621)
670	621	Он должен.	Он должен 	Он должен!	Он должен?	3	4	1	2	=SUM(G622:J622)
912	622	Она должна 	Она должна?	Она должна.	Она должна!	4	2	3	1	=SUM(G623:J623)
671	623	Мы должны.	Мы должны 	Мы должны!	Мы должны?	3	4	1	2	=SUM(G624:J624)
127	624	Вы должны!	Вы должны.	Вы должны?	Вы должны 	1	3	2	4	=SUM(G625:J625)
402	625	Они должны?	Они должны!	Они должны 	Они должны.	2	1	4	3	=SUM(G626:J626)
913	626	Я люблю 	Я люблю!	Я люблю.	Я люблю?	4	1	3	2	=SUM(G627:J627)
403	627	Ты любишь?	Ты любишь.	Ты любишь!	Ты любишь 	2	3	1	4	=SUM(G628:J628)
914	628	Он любит 	Он любит.	Он любит?	Он любит!	4	3	2	1	=SUM(G629:J629)
672	629	Она любит.	Она любит 	Она любит?	Она любит!	3	4	2	1	=SUM(G630:J630)
128	630	Мы любим!	Мы любим.	Мы любим?	Мы любим 	1	3	2	4	=SUM(G631:J631)
404	631	Вы любите?	Вы любите!	Вы любите 	Вы любите.	2	1	4	3	=SUM(G632:J632)
673	632	Они любят.	Они любят 	Они любят!	Они любят?	3	4	1	2	=SUM(G633:J633)
129	633	Я жду!	Я жду.	Я жду?	Я жду 	1	3	2	4	=SUM(G634:J634)
405	634	Ты ждёшь?	Ты ждёшь!	Ты ждёшь 	Ты ждёшь.	2	1	4	3	=SUM(G635:J635)
915	635	Он ждёт 	Он ждёт!	Он ждёт.	Он ждёт?	4	1	3	2	=SUM(G636:J636)
406	636	Она ждёт?	Она ждёт.	Она ждёт!	Она ждёт 	2	3	1	4	=SUM(G637:J637)
916	637	Мы ждём 	Мы ждём.	Мы ждём?	Мы ждём!	4	3	2	1	=SUM(G638:J638)
674	638	Вы ждёте.	Вы ждёте 	Вы ждёте?	Вы ждёте!	3	4	2	1	=SUM(G639:J639)
130	639	Они ждут!	Они ждут.	Они ждут?	Они ждут 	1	3	2	4	=SUM(G640:J640)
407	640	Я даю?	Я даю!	Я даю 	Я даю.	2	1	4	3	=SUM(G641:J641)
131	641	Ты даёшь!	Ты даёшь?	Ты даёшь.	Ты даёшь 	1	2	3	4	=SUM(G642:J642)
408	642	Он даёт?	Он даёт.	Он даёт 	Он даёт!	2	3	4	1	=SUM(G643:J643)
675	643	Она даёт.	Она даёт 	Она даёт!	Она даёт?	3	4	1	2	=SUM(G644:J644)
917	644	Мы даём 	Мы даём?	Мы даём.	Мы даём!	4	2	3	1	=SUM(G645:J645)
676	645	Вы даёте.	Вы даёте 	Вы даёте!	Вы даёте?	3	4	1	2	=SUM(G646:J646)
132	646	Они дают!	Они дают.	Они дают?	Они дают 	1	3	2	4	=SUM(G647:J647)
409	647	Я беру?	Я беру!	Я беру 	Я беру.	2	1	4	3	=SUM(G648:J648)
918	648	Ты берёшь 	Ты берёшь!	Ты берёшь.	Ты берёшь?	4	1	3	2	=SUM(G649:J649)
410	649	Он берёт?	Он берёт.	Он берёт!	Он берёт 	2	3	1	4	=SUM(G650:J650)
919	650	Она берёт 	Она берёт.	Она берёт?	Она берёт!	4	3	2	1	=SUM(G651:J651)
677	651	Мы берём.	Мы берём 	Мы берём?	Мы берём!	3	4	2	1	=SUM(G652:J652)
411	652	Вы берёте?	Вы берёте.	Вы берёте 	Вы берёте!	2	3	4	1	=SUM(G653:J653)
678	653	Они берут.	Они берут 	Они берут!	Они берут?	3	4	1	2	=SUM(G654:J654)
920	654	Я кладу 	Я кладу?	Я кладу.	Я кладу!	4	2	3	1	=SUM(G655:J655)
679	655	Ты кладёшь.	Ты кладёшь 	Ты кладёшь!	Ты кладёшь?	3	4	1	2	=SUM(G656:J656)
133	656	Он кладёт!	Он кладёт.	Он кладёт?	Он кладёт 	1	3	2	4	=SUM(G657:J657)
412	657	Она кладёт?	Она кладёт!	Она кладёт 	Она кладёт.	2	1	4	3	=SUM(G658:J658)
921	658	Мы кладём 	Мы кладём!	Мы кладём.	Мы кладём?	4	1	3	2	=SUM(G659:J659)
413	659	Вы кладёте?	Вы кладёте.	Вы кладёте!	Вы кладёте 	2	3	1	4	=SUM(G660:J660)
922	660	Они кладут 	Они кладут.	Они кладут?	Они кладут!	4	3	2	1	=SUM(G661:J661)
680	661	Я держу.	Я держу 	Я держу?	Я держу!	3	4	2	1	=SUM(G662:J662)
134	662	Ты держишь!	Ты держишь.	Ты держишь?	Ты держишь 	1	3	2	4	=SUM(G663:J663)
414	663	Он держит?	Он держит!	Он держит 	Он держит.	2	1	4	3	=SUM(G664:J664)
135	664	Она держит!	Она держит?	Она держит.	Она держит 	1	2	3	4	=SUM(G665:J665)
415	665	Мы держим?	Мы держим.	Мы держим 	Мы держим!	2	3	4	1	=SUM(G666:J666)
681	666	Вы держите.	Вы держите 	Вы держите!	Вы держите?	3	4	1	2	=SUM(G667:J667)
923	667	Они держат 	Они держат?	Они держат.	Они держат!	4	2	3	1	=SUM(G668:J668)
682	668	Я мою.	Я мою 	Я мою!	Я мою?	3	4	1	2	=SUM(G669:J669)
136	669	Ты моешь!	Ты моешь.	Ты моешь?	Ты моешь 	1	3	2	4	=SUM(G670:J670)
416	670	Он моет?	Он моет!	Он моет 	Он моет.	2	1	4	3	=SUM(G671:J671)
924	671	Она моет 	Она моет!	Она моет.	Она моет?	4	1	3	2	=SUM(G672:J672)
417	672	Мы моем?	Мы моем.	Мы моем!	Мы моем 	2	3	1	4	=SUM(G673:J673)
925	673	Вы моете 	Вы моете.	Вы моете?	Вы моете!	4	3	2	1	=SUM(G674:J674)
683	674	Они моют.	Они моют 	Они моют?	Они моют!	3	4	2	1	=SUM(G675:J675)
137	675	Я чищу!	Я чищу.	Я чищу?	Я чищу 	1	3	2	4	=SUM(G676:J676)
418	676	Ты чистишь?	Ты чистишь!	Ты чистишь 	Ты чистишь.	2	1	4	3	=SUM(G677:J677)
684	677	Он чистит.	Он чистит 	Он чистит!	Он чистит?	3	4	1	2	=SUM(G678:J678)
138	678	Она чистит!	Она чистит.	Она чистит?	Она чистит 	1	3	2	4	=SUM(G679:J679)
419	679	Мы чистим?	Мы чистим!	Мы чистим 	Мы чистим.	2	1	4	3	=SUM(G680:J680)
926	680	Вы чистите 	Вы чистите!	Вы чистите.	Вы чистите?	4	1	3	2	=SUM(G681:J681)
420	681	Они чистят?	Они чистят.	Они чистят!	Они чистят 	2	3	1	4	=SUM(G682:J682)
927	682	Я сушу 	Я сушу.	Я сушу?	Я сушу!	4	3	2	1	=SUM(G683:J683)
685	683	Ты сушишь.	Ты сушишь 	Ты сушишь?	Ты сушишь!	3	4	2	1	=SUM(G684:J684)
139	684	Он сушит!	Он сушит.	Он сушит?	Он сушит 	1	3	2	4	=SUM(G685:J685)
421	685	Она сушит?	Она сушит!	Она сушит 	Она сушит.	2	1	4	3	=SUM(G686:J686)
140	686	Мы сушим!	Мы сушим?	Мы сушим.	Мы сушим 	1	2	3	4	=SUM(G687:J687)
422	687	Вы сушите?	Вы сушите.	Вы сушите 	Вы сушите!	2	3	4	1	=SUM(G688:J688)
686	688	Они сушат.	Они сушат 	Они сушат!	Они сушат?	3	4	1	2	=SUM(G689:J689)
928	689	Я глажу 	Я глажу?	Я глажу.	Я глажу!	4	2	3	1	=SUM(G690:J690)
423	690	Ты гладишь?	Ты гладишь.	Ты гладишь 	Ты гладишь!	2	3	4	1	=SUM(G691:J691)
687	691	Он гладит.	Он гладит 	Он гладит!	Он гладит?	3	4	1	2	=SUM(G692:J692)
929	692	Она гладит 	Она гладит?	Она гладит.	Она гладит!	4	2	3	1	=SUM(G693:J693)
688	693	Мы гладим.	Мы гладим 	Мы гладим!	Мы гладим?	3	4	1	2	=SUM(G694:J694)
141	694	Вы гладите!	Вы гладите.	Вы гладите?	Вы гладите 	1	3	2	4	=SUM(G695:J695)
424	695	Они гладят?	Они гладят!	Они гладят 	Они гладят.	2	1	4	3	=SUM(G696:J696)
930	696	Я шью 	Я шью!	Я шью.	Я шью?	4	1	3	2	=SUM(G697:J697)
425	697	Ты шьёшь?	Ты шьёшь.	Ты шьёшь!	Ты шьёшь 	2	3	1	4	=SUM(G698:J698)
931	698	Он шьёт 	Он шьёт.	Он шьёт?	Он шьёт!	4	3	2	1	=SUM(G699:J699)
689	699	Она шьёт.	Она шьёт 	Она шьёт?	Она шьёт!	3	4	2	1	=SUM(G700:J700)
142	700	Мы шьём!	Мы шьём.	Мы шьём?	Мы шьём 	1	3	2	4	=SUM(G701:J701)
426	701	Вы шьёте?	Вы шьёте!	Вы шьёте 	Вы шьёте.	2	1	4	3	=SUM(G702:J702)
690	702	Они шьют.	Они шьют 	Они шьют!	Они шьют?	3	4	1	2	=SUM(G703:J703)
143	703	Я вяжу!	Я вяжу.	Я вяжу?	Я вяжу 	1	3	2	4	=SUM(G704:J704)
427	704	Ты вяжешь?	Ты вяжешь!	Ты вяжешь 	Ты вяжешь.	2	1	4	3	=SUM(G705:J705)
932	705	Он вяжет 	Он вяжет!	Он вяжет.	Он вяжет?	4	1	3	2	=SUM(G706:J706)
428	706	Она вяжет?	Она вяжет.	Она вяжет!	Она вяжет 	2	3	1	4	=SUM(G707:J707)
933	707	Мы вяжем 	Мы вяжем.	Мы вяжем?	Мы вяжем!	4	3	2	1	=SUM(G708:J708)
691	708	Вы вяжете.	Вы вяжете 	Вы вяжете?	Вы вяжете!	3	4	2	1	=SUM(G709:J709)
144	709	Они вяжут!	Они вяжут.	Они вяжут?	Они вяжут 	1	3	2	4	=SUM(G710:J710)
429	710	Я режу?	Я режу!	Я режу 	Я режу.	2	1	4	3	=SUM(G711:J711)
145	711	Ты режешь!	Ты режешь?	Ты режешь.	Ты режешь 	1	2	3	4	=SUM(G712:J712)
430	712	Он режет?	Он режет.	Он режет 	Он режет!	2	3	4	1	=SUM(G713:J713)
692	713	Она режет.	Она режет 	Она режет!	Она режет?	3	4	1	2	=SUM(G714:J714)
934	714	Мы режем 	Мы режем?	Мы режем.	Мы режем!	4	2	3	1	=SUM(G715:J715)
693	715	Вы режете.	Вы режете 	Вы режете!	Вы режете?	3	4	1	2	=SUM(G716:J716)
146	716	Они режут!	Они режут.	Они режут?	Они режут 	1	3	2	4	=SUM(G717:J717)
431	717	Я колю?	Я колю!	Я колю 	Я колю.	2	1	4	3	=SUM(G718:J718)
935	718	Ты колешь 	Ты колешь!	Ты колешь.	Ты колешь?	4	1	3	2	=SUM(G719:J719)
432	719	Он колет?	Он колет.	Он колет!	Он колет 	2	3	1	4	=SUM(G720:J720)
936	720	Она колет 	Она колет.	Она колет?	Она колет!	4	3	2	1	=SUM(G721:J721)
694	721	Мы колем.	Мы колем 	Мы колем?	Мы колем!	3	4	2	1	=SUM(G722:J722)
433	722	Вы колете?	Вы колете.	Вы колете 	Вы колете!	2	3	4	1	=SUM(G723:J723)
695	723	Они колют.	Они колют 	Они колют!	Они колют?	3	4	1	2	=SUM(G724:J724)
937	724	Я рублю 	Я рублю?	Я рублю.	Я рублю!	4	2	3	1	=SUM(G725:J725)
696	725	Ты рубишь.	Ты рубишь 	Ты рубишь!	Ты рубишь?	3	4	1	2	=SUM(G726:J726)
147	726	Он рубит!	Он рубит.	Он рубит?	Он рубит 	1	3	2	4	=SUM(G727:J727)
434	727	Она рубит?	Она рубит!	Она рубит 	Она рубит.	2	1	4	3	=SUM(G728:J728)
938	728	Мы рубим 	Мы рубим!	Мы рубим.	Мы рубим?	4	1	3	2	=SUM(G729:J729)
435	729	Вы рубите?	Вы рубите.	Вы рубите!	Вы рубите 	2	3	1	4	=SUM(G730:J730)
939	730	Они рубят 	Они рубят.	Они рубят?	Они рубят!	4	3	2	1	=SUM(G731:J731)
697	731	Я пилю.	Я пилю 	Я пилю?	Я пилю!	3	4	2	1	=SUM(G732:J732)
148	732	Ты пилишь!	Ты пилишь.	Ты пилишь?	Ты пилишь 	1	3	2	4	=SUM(G733:J733)
436	733	Он пилит?	Он пилит!	Он пилит 	Он пилит.	2	1	4	3	=SUM(G734:J734)
149	734	Она пилит!	Она пилит?	Она пилит.	Она пилит 	1	2	3	4	=SUM(G735:J735)
437	735	Мы пилим?	Мы пилим.	Мы пилим 	Мы пилим!	2	3	4	1	=SUM(G736:J736)
698	736	Вы пилите.	Вы пилите 	Вы пилите!	Вы пилите?	3	4	1	2	=SUM(G737:J737)
438	737	Они пилят?	Они пилят 	Они пилят?	Они пилят?	2	4	2	2	=SUM(G738:J738)
150	738	Я копаю!	Я копаю.	Я копаю?	Я копаю 	1	3	2	4	=SUM(G739:J739)
439	739	Ты копаешь?	Ты копаешь!	Ты копаешь 	Ты копаешь.	2	1	4	3	=SUM(G740:J740)
940	740	Он копает 	Он копает!	Он копает.	Он копает?	4	1	3	2	=SUM(G741:J741)
440	741	Она копает?	Она копает.	Она копает!	Она копает 	2	3	1	4	=SUM(G742:J742)
941	742	Мы копаем 	Мы копаем.	Мы копаем?	Мы копаем!	4	3	2	1	=SUM(G743:J743)
